
date,portfolio_id,ticker,quantity,market_value
2013-07-16,201,FB,88,2316.16
2014-02-04,202,FB,283,17758.25
2014-07-16,202,FB,207,14005.62
2016-02-25,203,FB,213,23018.91
2015-02-02,201,FB,383,28721.17
2012-10-24,201,FB,405,9408.15
2015-08-04,202,FB,424,39881.44
2012-09-24,203,FB,440,9147.6
2018-03-28,201,FB,363,55549.89
2017-08-17,202,FB,405,67598.55
2012-11-21,203,FB,267,6493.44
2013-12-16,202,FB,458,24644.98
2015-03-11,202,FB,200,15514.0
2016-03-04,203,FB,201,21786.39
2014-08-07,202,FB,263,19243.71
2014-08-08,202,FB,390,28493.4
2015-09-30,203,FB,276,24812.4
2013-12-13,202,FB,79,4212.28
2018-03-15,201,FB,269,49458.34
2013-10-21,203,FB,134,7215.9
2013-04-10,202,FB,76,2095.32
2013-10-02,202,FB,350,17598.0
2017-03-06,202,FB,371,50982.82
2019-05-07,203,FB,22,4174.94
2018-05-02,201,FB,309,54405.63
2014-04-11,203,FB,305,17851.65
2015-10-05,203,FB,492,46252.92
2016-03-30,202,FB,135,15484.5
2016-10-17,202,FB,210,26783.4
2015-10-06,203,FB,459,42595.2
2014-05-22,202,FB,291,17611.32
2015-09-24,201,FB,240,22658.4
2019-01-30,201,FB,15,2256.3
2014-05-23,201,FB,184,11288.4
2012-09-05,203,FB,274,5090.92
2013-08-07,201,FB,116,4508.92
2013-05-09,202,FB,490,13249.6
2013-09-03,201,FB,75,3140.25
2016-03-09,202,FB,457,49132.07
2015-07-20,202,FB,358,35051.78
2016-05-13,202,FB,172,20607.32
2016-08-15,201,FB,348,43117.2
2016-05-20,203,FB,394,46235.9
2015-11-12,203,FB,374,40399.48
2012-12-12,201,FB,430,11859.4
2019-12-31,201,FB,36,7389.0
2018-06-29,201,FB,189,36726.48
2018-05-08,203,FB,20,3578.4
2019-02-21,203,FB,122,19524.88
2015-07-01,201,FB,396,34416.36
2018-06-13,203,FB,418,80427.38
2017-03-20,201,FB,22,3078.68
2013-01-14,202,FB,146,4518.7
2017-12-21,201,FB,344,61042.8
2017-11-16,202,FB,464,83329.76
2017-11-20,203,FB,272,48617.28
2013-03-12,203,FB,178,4953.74
2012-08-10,202,FB,231,5038.11
2018-08-09,202,FB,349,63898.41
2019-05-10,201,FB,464,87389.76
