
date,portfolio_id,ticker,quantity,market_value
1966-12-08,201,XOM,417,9.34
2017-08-18,202,XOM,240,16463.51
2011-09-27,202,XOM,321,17454.41
1981-04-23,202,XOM,219,22.25
1987-07-30,201,XOM,184,160.87
1985-11-05,202,XOM,56,14.2
1983-08-24,203,XOM,352,53.34
2001-12-28,202,XOM,137,3266.09
1999-02-26,201,XOM,452,8018.09
1980-05-01,201,XOM,390,33.46
1990-04-11,202,XOM,340,526.55
2007-11-20,202,XOM,223,13393.27
1974-07-29,202,XOM,447,16.18
1968-09-24,202,XOM,113,3.16
2016-07-05,201,XOM,267,21242.35
2004-12-10,202,XOM,436,14144.24
2010-09-01,201,XOM,454,20138.82
1979-11-23,201,XOM,204,16.07
1996-05-30,202,XOM,26,243.99
2009-11-05,202,XOM,307,15790.12
2017-11-17,201,XOM,462,33488.01
1963-06-04,203,XOM,398,7.8
2011-03-30,202,XOM,87,5415.3
1994-03-01,202,XOM,482,2276.18
2007-10-04,201,XOM,333,20625.61
2013-09-19,203,XOM,221,15486.98
1993-01-29,201,XOM,198,701.9
1987-06-02,203,XOM,14,11.44
2013-04-02,202,XOM,264,18512.76
2011-12-27,201,XOM,138,8829.16
1968-04-15,201,XOM,452,11.26
1989-05-08,202,XOM,337,392.27
2003-05-27,203,XOM,81,1852.03
1970-12-31,201,XOM,314,9.29
2007-01-08,201,XOM,145,7086.92
2012-11-27,202,XOM,155,10415.11
2001-07-23,203,XOM,433,10903.2
1990-09-21,202,XOM,314,602.62
1986-12-22,201,XOM,77,44.1
1974-11-15,201,XOM,239,7.75
1998-04-14,203,XOM,467,7984.51
2011-04-07,203,XOM,379,23945.41
1982-12-20,202,XOM,85,8.85
1984-10-10,203,XOM,259,50.8
1965-10-18,201,XOM,424,10.78
1967-07-05,203,XOM,263,5.51
1983-10-05,201,XOM,58,8.5
1990-03-08,201,XOM,341,541.12
1976-04-12,203,XOM,137,6.72
1995-08-30,201,XOM,192,1271.08
2000-03-13,202,XOM,305,6439.73
1973-03-05,203,XOM,109,4.41
2009-12-16,202,XOM,126,6152.43
1963-04-05,201,XOM,285,5.35
1966-05-03,201,XOM,255,6.3
2017-02-01,201,XOM,428,30891.51
2011-04-01,202,XOM,116,7236.64
1988-04-28,201,XOM,292,295.88
1988-10-07,202,XOM,382,432.2
1970-08-07,203,XOM,438,11.18
