
trade_id,timestamp,ticker,quantity,price,trader_id
201,1982-05-25 11:34:19,XOM,19,0.1,102
202,2014-01-24 10:25:21,XOM,49,74.32,103
203,1987-01-05 15:57:18,XOM,78,0.61,102
204,1970-03-23 12:10:39,XOM,66,0.02,105
205,2011-05-03 09:40:32,XOM,50,65.57,103
206,2018-08-10 13:25:05,XOM,25,70.8,104
207,1975-07-31 14:42:26,XOM,76,0.04,105
208,2008-10-30 13:58:11,XOM,33,50.45,102
209,1981-04-21 10:47:35,XOM,65,0.1,104
210,1971-02-08 14:52:24,XOM,5,0.03,101
211,1987-09-01 14:32:46,XOM,17,0.95,104
212,1998-02-24 14:52:47,XOM,26,15.43,102
213,2011-12-12 12:15:46,XOM,9,57.64,104
214,1998-03-18 11:55:17,XOM,23,17.1,104
215,1999-07-28 12:45:35,XOM,23,20.35,101
216,2009-05-12 14:05:50,XOM,70,50.87,103
217,1967-03-03 09:45:59,XOM,91,0.02,104
218,1978-08-29 15:28:06,XOM,42,0.06,102
219,1962-04-30 12:39:34,XOM,79,0.01,102
220,1963-09-04 12:03:26,XOM,32,0.02,105
221,2019-10-15 11:01:13,XOM,44,64.58,102
222,1975-07-21 15:56:25,XOM,24,0.05,103
223,1981-09-29 13:08:26,XOM,2,0.1,105
224,1986-01-23 09:41:14,XOM,55,0.24,102
225,1966-07-25 10:00:35,XOM,72,0.02,102
226,2006-05-18 11:56:31,XOM,11,40.99,104
227,2016-01-11 15:39:18,XOM,90,62.61,101
228,2011-05-19 14:28:15,XOM,60,60.16,101
229,2017-11-20 11:15:14,XOM,46,75.7,102
230,1995-01-11 14:03:40,XOM,84,4.92,103
231,1971-09-23 13:26:33,XOM,72,0.03,102
232,1998-05-20 11:18:11,XOM,64,19.24,105
233,1998-11-12 14:19:34,XOM,12,18.5,103
234,1997-12-24 14:54:05,XOM,98,15.82,104
235,1974-07-12 14:59:42,XOM,90,0.03,102
236,1995-01-20 14:43:28,XOM,98,5.06,103
237,1994-06-20 12:19:02,XOM,33,4.6,105
238,2004-06-07 11:17:36,XOM,4,27.73,101
239,1978-11-30 10:43:08,XOM,9,0.06,105
240,2004-05-13 11:48:10,XOM,88,26.29,105
241,1979-09-26 13:22:09,XOM,78,0.08,102
242,2006-10-31 12:56:47,XOM,36,45.96,105
243,2013-06-10 11:04:20,XOM,20,71.25,105
244,2009-03-05 11:07:02,XOM,14,44.42,103
245,2002-07-22 10:51:04,XOM,79,18.25,101
246,2001-11-28 10:31:29,XOM,39,21.9,102
247,2008-07-22 13:46:49,XOM,53,58.59,102
248,1963-02-04 11:10:08,XOM,20,0.02,104
249,1981-06-10 13:36:14,XOM,39,0.11,104
250,1980-07-24 10:11:27,XOM,12,0.11,104
251,2003-11-17 09:32:53,XOM,85,21.88,102
252,1981-07-01 10:26:25,XOM,88,0.11,105
253,2006-12-07 10:26:21,XOM,31,52.22,105
254,1972-04-11 12:47:11,XOM,85,0.03,103
255,1975-11-20 14:35:45,XOM,95,0.05,102
256,1976-12-15 13:43:15,XOM,50,0.06,104
257,1989-01-17 11:30:57,XOM,15,1.23,105
258,2005-10-18 09:38:22,XOM,73,35.47,102
259,1998-03-16 14:15:49,XOM,55,16.02,101
260,1977-01-06 14:54:09,XOM,38,0.06,105
261,2018-08-13 11:44:30,XOM,25,73.69,104
262,1982-12-20 12:02:09,XOM,11,0.1,104
263,2007-07-05 11:37:41,XOM,74,56.13,105
264,1996-04-25 14:38:18,XOM,3,8.43,103
265,2008-08-01 12:30:19,XOM,90,55.11,103
266,1987-05-18 11:22:07,XOM,27,0.81,102
267,2005-11-22 13:14:40,XOM,33,38.17,104
268,1984-11-26 12:45:52,XOM,12,0.19,101
269,2005-07-13 15:15:06,XOM,78,37.2,101
270,1967-04-05 09:37:04,XOM,41,0.02,105
271,1970-10-21 12:38:33,XOM,81,0.03,105
272,2012-01-27 13:13:07,XOM,53,63.74,103
273,2002-11-22 11:57:25,XOM,7,21.16,103
274,2012-06-14 10:09:59,XOM,21,61.55,104
275,1969-04-23 13:47:20,XOM,51,0.03,105
276,2010-01-14 11:42:16,XOM,41,50.85,102
277,1992-07-21 12:51:28,XOM,80,3.28,103
278,1984-01-31 14:03:48,XOM,81,0.17,105
279,1991-08-01 10:28:52,XOM,89,2.62,102
280,1979-02-13 15:59:40,XOM,96,0.07,102
281,1977-02-11 15:42:46,XOM,14,0.06,103
282,2007-03-26 12:11:11,XOM,81,53.38,102
283,2002-04-17 10:19:26,XOM,38,26.7,104
284,1979-06-22 15:43:10,XOM,96,0.07,104
285,1979-06-28 10:52:20,XOM,44,0.07,104
286,2016-09-06 11:49:09,XOM,33,78.62,104
287,1970-04-29 11:16:58,XOM,41,0.02,102
288,1967-07-05 11:39:04,XOM,61,0.02,102
289,2006-11-09 10:08:25,XOM,11,47.91,103
290,1983-06-30 10:20:29,XOM,40,0.14,103
291,1965-08-09 13:13:12,XOM,5,0.02,103
292,1993-08-23 09:30:39,XOM,10,4.15,105
293,2012-04-27 14:18:20,XOM,58,66.51,105
294,1975-12-12 13:11:09,XOM,84,0.05,103
295,1984-03-27 12:46:03,XOM,72,0.17,104
296,1995-07-14 14:04:28,XOM,35,6.31,105
297,1990-03-02 11:21:14,XOM,7,1.54,104
298,1966-06-08 09:43:14,XOM,35,0.02,103
299,1980-04-01 13:00:42,XOM,41,0.08,102
300,1973-06-07 14:01:24,XOM,28,0.05,101
