
date,trader_id,realized_pnl,unrealized_pnl
1962-01-05,101,256.18,-3893.19
1962-01-05,102,-952.61,-710.99
1962-01-05,103,-718.0,4977.77
1962-01-05,104,-889.31,-4690.81
1962-01-05,105,-342.45,-1406.01
1962-09-13,101,201.71,3681.59
1962-09-13,102,-713.87,2901.73
1962-09-13,103,-651.66,637.6
1962-09-13,104,-880.1,-4670.64
1962-09-13,105,-214.27,-2359.56
1963-01-15,101,-67.74,-3437.41
1963-01-15,102,-884.12,-3164.77
1963-01-15,103,-99.17,-2130.6
1963-01-15,104,744.42,-3463.21
1963-01-15,105,-371.23,-4922.81
1963-01-18,101,324.76,1543.51
1963-01-18,102,931.61,-4839.5
1963-01-18,103,288.43,2569.41
1963-01-18,104,-711.84,-1562.43
1963-01-18,105,-338.56,1609.85
1963-02-07,101,-680.64,107.47
1963-02-07,102,145.7,-3656.97
1963-02-07,103,-706.4,-899.84
1963-02-07,104,594.71,3282.11
1963-02-07,105,-855.11,-4692.76
1964-05-22,101,537.85,2929.26
1964-05-22,102,-40.8,-3996.74
1964-05-22,103,-927.98,4457.34
1964-05-22,104,514.9,379.29
1964-05-22,105,182.38,-3760.0
1964-07-31,101,-230.6,4212.42
1964-07-31,102,509.52,-2338.52
1964-07-31,103,763.26,3966.02
1964-07-31,104,-131.75,2933.77
1964-07-31,105,42.94,-2941.51
1964-09-01,101,875.51,107.38
1964-09-01,102,454.62,-2733.85
1964-09-01,103,439.15,443.67
1964-09-01,104,-624.23,-209.18
1964-09-01,105,699.9,4609.79
1965-01-15,101,992.55,-4031.09
1965-01-15,102,-485.51,-2924.01
1965-01-15,103,-182.55,-1811.07
1965-01-15,104,889.87,4260.14
1965-01-15,105,-667.18,2702.06
1965-03-08,101,171.01,526.63
1965-03-08,102,-252.42,2757.15
1965-03-08,103,-996.36,-3923.99
1965-03-08,104,-102.34,-3432.45
1965-03-08,105,-990.5,2723.1
1965-08-04,101,-418.68,4945.75
1965-08-04,102,53.28,1188.13
1965-08-04,103,-283.67,-4066.42
1965-08-04,104,-337.22,3442.95
1965-08-04,105,-62.37,-740.99
1965-09-16,101,294.22,4650.46
1965-09-16,102,401.42,-3364.29
1965-09-16,103,-116.54,2574.2
1965-09-16,104,437.66,-1127.92
1965-09-16,105,304.43,-3748.52
1966-01-11,101,844.81,-855.15
1966-01-11,102,943.96,-521.53
1966-01-11,103,725.21,4073.29
1966-01-11,104,-41.31,879.42
1966-01-11,105,-152.47,152.92
1966-06-01,101,494.89,-217.66
1966-06-01,102,-622.9,-4979.57
1966-06-01,103,90.91,-2101.55
1966-06-01,104,56.34,4079.39
1966-06-01,105,812.95,-1461.59
1966-07-29,101,-796.28,-3533.31
1966-07-29,102,-702.65,1432.61
1966-07-29,103,-290.6,4874.53
1966-07-29,104,-202.6,-265.44
1966-07-29,105,-505.59,-4928.44
1967-08-29,101,584.29,-4588.72
1967-08-29,102,-728.33,-1097.94
1967-08-29,103,799.21,4469.37
1967-08-29,104,-21.02,1485.38
1967-08-29,105,-937.98,-2170.24
1967-10-11,101,-884.06,4344.79
1967-10-11,102,293.95,-2274.38
1967-10-11,103,167.31,3636.8
1967-10-11,104,490.9,2768.6
1967-10-11,105,-564.73,-2841.43
1967-12-20,101,-604.87,4410.25
1967-12-20,102,-462.59,1403.02
1967-12-20,103,-493.4,903.62
