
date,portfolio_id,ticker,quantity,market_value
2010-04-21,203,AAPL,223,7168.29
1993-09-15,203,AAPL,202,149.05
1987-07-30,201,AAPL,169,198.77
2009-09-15,202,AAPL,341,7406.81
2016-07-19,201,AAPL,321,30231.77
1983-01-10,203,AAPL,213,86.64
2007-09-17,202,AAPL,434,7449.02
2009-09-17,203,AAPL,421,9634.7
2008-11-04,201,AAPL,213,2931.61
1988-03-16,201,AAPL,399,524.43
2000-02-14,203,AAPL,378,1357.15
1981-09-29,201,AAPL,308,65.91
2018-10-17,202,AAPL,287,62176.82
2017-09-14,202,AAPL,422,64446.91
2007-07-31,202,AAPL,111,1813.63
1987-11-11,202,AAPL,208,219.87
2011-01-26,203,AAPL,98,4178.66
1996-10-16,203,AAPL,385,307.34
2008-05-15,202,AAPL,264,6211.29
2019-06-28,202,AAPL,272,53343.34
1983-02-28,201,AAPL,64,41.31
2014-04-03,203,AAPL,169,11747.75
1993-08-12,201,AAPL,21,16.69
1983-10-18,202,AAPL,332,91.01
2005-07-22,202,AAPL,125,682.03
1985-10-09,203,AAPL,390,82.77
2017-01-12,202,AAPL,325,36934.77
1989-10-17,203,AAPL,371,506.46
2000-01-26,202,AAPL,452,1544.02
2012-07-11,201,AAPL,217,16264.77
1989-10-20,203,AAPL,229,317.58
1996-08-08,201,AAPL,425,291.51
2001-07-30,201,AAPL,210,246.48
1985-03-05,202,AAPL,351,128.5
2017-07-28,203,AAPL,78,11207.2
2009-11-24,201,AAPL,237,6008.36
2014-09-05,202,AAPL,379,34234.45
2011-08-22,203,AAPL,267,11801.57
1988-01-13,201,AAPL,490,588.77
1986-02-14,203,AAPL,187,62.84
1991-09-20,203,AAPL,265,396.12
2002-06-03,202,AAPL,181,257.11
1988-04-11,202,AAPL,424,501.41
2013-10-31,201,AAPL,425,28325.02
2009-06-05,203,AAPL,125,2242.49
1992-04-01,201,AAPL,363,635.08
2000-01-12,203,AAPL,83,224.34
2004-06-14,203,AAPL,375,700.32
1987-06-29,201,AAPL,58,66.98
1997-12-22,203,AAPL,436,179.94
2001-02-07,203,AAPL,319,410.41
1982-08-05,201,AAPL,434,75.99
2007-05-15,201,AAPL,338,4506.59
2016-08-18,202,AAPL,119,12307.27
1996-07-22,202,AAPL,249,156.32
2003-12-29,201,AAPL,12,15.74
2012-06-15,201,AAPL,331,23565.7
2017-10-10,201,AAPL,197,29633.02
1992-03-17,202,AAPL,115,214.41
1992-05-20,202,AAPL,487,866.46
