
date,portfolio_id,ticker,quantity,market_value
2002-01-25,203,MSFT,231,4727.93
1994-06-07,203,MSFT,402,864.45
2008-04-17,202,MSFT,301,6649.17
1995-06-06,201,MSFT,77,256.67
2015-02-03,203,MSFT,34,1266.33
2019-09-27,201,MSFT,217,29704.92
2002-09-05,201,MSFT,62,913.14
2006-08-22,203,MSFT,25,474.26
2004-12-03,203,MSFT,299,5890.96
1990-02-23,202,MSFT,377,163.78
2004-08-04,201,MSFT,431,7828.1
1996-05-07,203,MSFT,407,1846.29
2013-11-13,202,MSFT,41,1353.17
2004-08-02,201,MSFT,280,5168.91
1992-10-30,203,MSFT,147,261.58
2013-03-19,202,MSFT,66,1586.22
1989-02-23,202,MSFT,243,65.37
2008-07-31,203,MSFT,419,8177.14
1988-01-29,201,MSFT,88,21.86
1999-04-07,201,MSFT,65,1945.77
2016-04-26,201,MSFT,131,6241.94
2020-01-13,201,MSFT,140,22796.93
1996-03-14,202,MSFT,352,1406.24
1992-05-05,202,MSFT,51,79.42
2012-10-01,202,MSFT,16,395.86
2012-06-21,201,MSFT,278,6983.33
2004-04-06,203,MSFT,122,2037.38
1989-12-27,202,MSFT,135,51.88
2019-02-20,202,MSFT,188,19881.16
2014-10-02,202,MSFT,456,18565.01
1989-12-14,201,MSFT,483,167.86
2015-05-19,203,MSFT,42,1813.6
1996-10-09,202,MSFT,25,134.84
2000-06-14,202,MSFT,250,5654.15
2003-03-27,203,MSFT,318,5125.35
2014-04-29,202,MSFT,434,15436.16
2005-08-15,202,MSFT,224,4437.76
2007-01-03,202,MSFT,313,6944.0
1996-09-05,202,MSFT,26,126.68
2000-01-21,201,MSFT,327,10883.63
1986-12-05,201,MSFT,51,5.57
2005-12-19,202,MSFT,226,4440.86
2008-08-05,203,MSFT,424,8432.37
2002-01-23,202,MSFT,426,8710.83
2013-05-31,202,MSFT,188,5635.02
2019-06-18,203,MSFT,257,34409.44
2014-09-17,202,MSFT,213,8815.84
2002-11-11,203,MSFT,411,7101.43
1991-01-04,201,MSFT,91,61.53
2015-08-05,202,MSFT,249,10752.06
2017-07-21,202,MSFT,87,6137.91
1997-11-13,202,MSFT,18,189.93
2018-05-09,201,MSFT,230,21639.8
2018-04-04,201,MSFT,82,7348.17
1997-08-05,201,MSFT,468,5379.08
2005-02-17,203,MSFT,150,2792.44
2018-02-01,201,MSFT,87,7921.98
2009-01-06,202,MSFT,274,4362.7
2007-06-15,203,MSFT,297,6773.25
1995-07-17,201,MSFT,348,1521.09
