
date,portfolio_id,ticker,quantity,market_value
2008-07-28,203,NFLX,208,850.72
2005-07-22,201,NFLX,183,428.74
2007-04-09,203,NFLX,305,1060.53
2010-10-06,201,NFLX,73,1567.1
2017-05-26,203,NFLX,20,3248.6
2018-02-23,202,NFLX,181,51753.33
2016-02-01,201,NFLX,378,35566.02
2018-10-31,203,NFLX,221,66693.38
2012-07-03,202,NFLX,397,4085.7
2011-10-31,201,NFLX,389,4561.3
2009-02-05,202,NFLX,239,1279.33
2018-06-26,201,NFLX,470,187713.31
2012-12-04,202,NFLX,456,5644.63
2011-02-25,202,NFLX,58,1760.22
2005-10-12,203,NFLX,198,778.14
2013-12-05,201,NFLX,104,5319.75
2017-03-16,203,NFLX,270,38985.3
2017-09-19,203,NFLX,165,30637.2
2003-11-05,202,NFLX,271,1136.65
2005-01-07,201,NFLX,351,557.59
2014-12-04,203,NFLX,182,9115.6
2006-03-03,203,NFLX,312,1192.73
2013-02-11,201,NFLX,336,8538.72
2006-11-06,203,NFLX,264,1028.09
2007-08-08,203,NFLX,375,962.68
2019-08-06,201,NFLX,30,9303.0
2010-03-25,201,NFLX,198,2080.13
2012-08-23,202,NFLX,453,4144.95
2011-12-05,201,NFLX,335,3355.74
2004-04-12,202,NFLX,413,2224.89
2006-04-17,201,NFLX,260,1084.57
2011-04-26,203,NFLX,385,12590.05
2008-03-26,202,NFLX,338,1828.1
2004-11-19,201,NFLX,173,278.04
2004-07-20,203,NFLX,358,1102.64
2014-03-11,201,NFLX,313,19561.61
2018-10-25,202,NFLX,23,7196.01
2009-01-07,202,NFLX,157,733.64
2017-12-15,202,NFLX,126,23955.12
2013-01-29,203,NFLX,241,5822.56
2013-10-25,202,NFLX,366,17151.28
2012-12-06,202,NFLX,159,1957.29
2014-10-29,201,NFLX,332,17932.74
2007-01-03,203,NFLX,234,889.53
2019-11-06,201,NFLX,215,62046.85
2003-08-21,201,NFLX,370,762.2
2006-08-23,203,NFLX,385,1027.4
2004-10-28,201,NFLX,317,434.29
2005-03-04,203,NFLX,414,632.83
2006-03-01,201,NFLX,410,1572.64
2012-02-28,203,NFLX,500,8094.29
2007-06-06,202,NFLX,157,506.89
2018-11-28,202,NFLX,262,74054.3
2014-07-15,202,NFLX,113,7249.6
2018-11-01,201,NFLX,303,96166.14
2014-05-15,202,NFLX,211,10374.87
2003-03-28,201,NFLX,138,207.59
2010-07-13,203,NFLX,226,3903.99
2018-07-24,202,NFLX,304,108625.28
2007-03-02,201,NFLX,324,1031.71
