
date,portfolio_id,ticker,quantity,market_value
2012-06-04,202,NVDA,39,421.05
2014-08-15,201,NVDA,60,1091.23
2004-03-05,201,NVDA,339,2307.82
2005-09-21,203,NVDA,46,467.55
2017-09-05,203,NVDA,77,12673.57
2006-12-22,203,NVDA,466,10588.03
2012-01-06,202,NVDA,170,2274.99
1999-03-19,201,NVDA,435,700.64
2012-03-28,201,NVDA,78,1088.33
2009-06-23,201,NVDA,367,3546.68
2002-10-14,203,NVDA,169,443.3
2006-09-05,201,NVDA,453,7921.71
2015-10-23,202,NVDA,353,9847.74
2008-03-19,203,NVDA,94,1527.87
2016-09-20,201,NVDA,201,12521.48
1999-03-17,203,NVDA,192,304.65
2005-10-26,203,NVDA,440,4335.85
2008-07-29,201,NVDA,197,2112.32
2006-03-06,201,NVDA,73,1098.74
2000-07-21,201,NVDA,282,3014.53
2012-05-24,202,NVDA,61,679.89
2001-11-07,201,NVDA,131,2034.82
2005-06-30,202,NVDA,217,1778.86
2003-04-17,203,NVDA,434,1817.47
2016-11-21,202,NVDA,450,41314.35
2008-06-20,202,NVDA,172,3128.11
2002-04-18,202,NVDA,439,5336.11
2012-03-13,201,NVDA,260,3539.23
2018-08-17,201,NVDA,303,73733.57
2013-01-18,202,NVDA,229,2581.58
2012-08-31,203,NVDA,309,3990.09
2006-02-15,202,NVDA,287,3960.47
2007-10-17,203,NVDA,299,10881.15
2012-11-05,203,NVDA,73,874.78
2008-10-20,201,NVDA,98,703.54
2017-06-13,202,NVDA,369,55373.99
2020-01-03,201,NVDA,224,52848.07
1999-11-12,203,NVDA,233,571.86
2018-09-12,203,NVDA,383,102157.61
2011-04-08,202,NVDA,346,5588.82
2017-04-10,202,NVDA,181,17521.88
2013-04-26,202,NVDA,442,5524.17
2009-11-10,201,NVDA,125,1510.57
2012-04-11,203,NVDA,323,4263.03
2016-08-09,202,NVDA,195,11318.15
2019-07-24,203,NVDA,359,63990.0
2015-02-13,203,NVDA,77,1655.16
2019-02-26,202,NVDA,482,75382.53
2004-01-14,201,NVDA,468,3481.79
2012-07-30,202,NVDA,40,490.75
2014-11-14,201,NVDA,303,5753.13
2013-04-04,202,NVDA,161,1838.14
2001-12-17,202,NVDA,310,6467.2
2007-03-05,203,NVDA,381,6723.41
2002-05-14,202,NVDA,475,5416.66
2013-01-28,203,NVDA,439,5127.9
2001-06-26,202,NVDA,253,3638.37
1999-12-09,201,NVDA,173,509.19
2002-01-07,203,NVDA,248,5154.74
1999-06-03,202,NVDA,66,85.74
