natural_language,sql_query
"List all patients with their birthdate, gender, and mailing address.","SELECT id,
       first || ' ' || last AS full_name,
       birthdate,
       gender,
       address
FROM healthcare_demo.patients
ORDER BY last, first
LIMIT 100;"
Show all encounters for patient <patient_uuid> including the encounter description and patient name.,"SELECT e.id,
       e.date,
       e.code,
       e.description,
       p.first || ' ' || p.last AS patient_name
FROM healthcare_demo.encounters AS e
JOIN healthcare_demo.patients AS p ON e.patient = p.id
WHERE e.patient = '<patient_uuid>'
ORDER BY e.date;"
Count encounters per patient and include the patient's full name.,"SELECT p.id,
       p.first || ' ' || p.last AS full_name,
       COUNT(e.id) AS encounter_count
FROM healthcare_demo.patients AS p
LEFT JOIN healthcare_demo.encounters AS e ON p.id = e.patient
GROUP BY p.id, p.first, p.last
ORDER BY encounter_count DESC, full_name;"
Show the ten most common condition descriptions.,"SELECT description,
       COUNT(*) AS frequency
FROM healthcare_demo.conditions
GROUP BY description
ORDER BY frequency DESC
LIMIT 10;"
List all conditions recorded for a patient named John Doe including the encounter date.,"SELECT c.description,
       c.start AS condition_start,
       e.date AS encounter_date
FROM healthcare_demo.conditions AS c
JOIN healthcare_demo.patients AS p ON c.patient = p.id
LEFT JOIN healthcare_demo.encounters AS e ON c.encounter = e.id
WHERE p.first = 'John'
  AND p.last = 'Doe'
ORDER BY c.start;"
List medications prescribed during encounter <encounter_uuid> including patient name and prescription window.,"SELECT m.code,
       m.description,
       m.start,
       m.stop,
       p.first || ' ' || p.last AS patient_name
FROM healthcare_demo.medications AS m
JOIN healthcare_demo.patients AS p ON m.patient = p.id
WHERE m.encounter = '<encounter_uuid>'
ORDER BY m.start;"
Find patients without any encounters.,"SELECT p.id,
       p.first || ' ' || p.last AS full_name
FROM healthcare_demo.patients AS p
LEFT JOIN healthcare_demo.encounters AS e ON p.id = e.patient
WHERE e.patient IS NULL
ORDER BY full_name;"
List all observations for patient <patient_uuid> with measurement units and encounter date.,"SELECT o.date,
       o.description,
       o.value,
        o.units,
       e.date AS encounter_date
FROM healthcare_demo.observations AS o
LEFT JOIN healthcare_demo.encounters AS e ON o.encounter = e.id
WHERE o.patient = '<patient_uuid>'
ORDER BY o.date;"
Compute the average numeric body weight per patient (kg).,"SELECT p.id,
       p.first || ' ' || p.last AS full_name,
       AVG(NULLIF(o.value, '')::numeric) AS avg_weight_kg
FROM healthcare_demo.observations AS o
JOIN healthcare_demo.patients AS p ON o.patient = p.id
WHERE o.code = '29463-7'
  AND o.description = 'Body Weight'
  AND NULLIF(o.value, '') ~ '^[0-9]+(\.[0-9]+)?$'
GROUP BY p.id, p.first, p.last
ORDER BY avg_weight_kg DESC;"
Return the most recent observation for each patient.,"SELECT DISTINCT ON (o.patient) o.patient,
       p.first || ' ' || p.last AS full_name,
       o.date,
       o.description,
       o.value,
       o.units
FROM healthcare_demo.observations AS o
JOIN healthcare_demo.patients AS p ON o.patient = p.id
ORDER BY o.patient, o.date DESC;"
List encounters occurring after 2022-01-01 with patient name and encounter code.,"SELECT e.id,
       e.date,
       e.code,
       e.description,
       p.first || ' ' || p.last AS patient_name
FROM healthcare_demo.encounters AS e
JOIN healthcare_demo.patients AS p ON e.patient = p.id
WHERE e.date >= DATE '2022-01-01'
ORDER BY e.date;"
Retrieve conditions tied to encounters with billing code 99213 including encounter date.,"SELECT c.description,
       c.start AS condition_start,
       e.date AS encounter_date
FROM healthcare_demo.conditions AS c
JOIN healthcare_demo.encounters AS e ON c.encounter = e.id
WHERE e.code = '99213'
ORDER BY c.start;"
List patients diagnosed with both diabetes and hypertension.,"SELECT DISTINCT p.id,
       p.first || ' ' || p.last AS full_name
FROM healthcare_demo.patients AS p
JOIN healthcare_demo.conditions AS c1 ON p.id = c1.patient
JOIN healthcare_demo.conditions AS c2 ON p.id = c2.patient
WHERE LOWER(c1.description) LIKE '%diabetes%'
  AND LOWER(c2.description) LIKE '%hypertension%'
ORDER BY full_name;"
Identify medications overlapping with condition time spans for each patient.,"SELECT DISTINCT p.id,
       p.first || ' ' || p.last AS full_name,
       m.description AS medication,
       c.description AS condition
FROM healthcare_demo.patients AS p
JOIN healthcare_demo.medications AS m ON p.id = m.patient
JOIN healthcare_demo.conditions AS c ON p.id = c.patient
WHERE m.start <= COALESCE(c.stop, m.start)
  AND COALESCE(m.stop, CURRENT_DATE) >= c.start
ORDER BY full_name, medication;"
Find conditions active during 2023.,"SELECT *
FROM healthcare_demo.conditions
WHERE start <= DATE '2023-12-31'
  AND (stop IS NULL OR stop >= DATE '2023-01-01');"
List patients living in Massachusetts (address contains ' MA ').,"SELECT id,
       first || ' ' || last AS full_name,
       address
FROM healthcare_demo.patients
WHERE address ILIKE '% MA %'
ORDER BY full_name;"
Count distinct observation units used in the dataset.,"SELECT units,
       COUNT(*) AS occurrences
FROM healthcare_demo.observations
WHERE units IS NOT NULL AND units <> ''
GROUP BY units
ORDER BY occurrences DESC;"
Find patients with any observation value greater than 150.,"SELECT DISTINCT p.id,
       p.first || ' ' || p.last AS full_name
FROM healthcare_demo.patients AS p
JOIN healthcare_demo.observations AS o ON p.id = o.patient
WHERE NULLIF(o.value, '') ~ '^[0-9]+(\.[0-9]+)?$'
  AND NULLIF(o.value, '')::numeric > 150
ORDER BY full_name;"
